Instance,Method,Parameter,Edges in EdgesOS,EdgesOS in Edges,Edges
eil76,Delaunay-NearestNeighbor,3,22.37,35.42,"{(43, 31), (5, 50), (45, 7), (58, 65), (33, 45), (58, 13), (33, 51), (26, 51), (74, 3), (10, 64), (47, 28), (66, 75), (0, 72), (47, 46), (38, 71), (39, 11), (67, 0), (27, 61), (26, 44), (5, 67), (27, 73), (64, 37), (74, 75), (32, 72), (20, 46), (57, 71), (15, 62), (66, 25), (44, 28), (6, 7), (11, 25), (9, 37), (39, 16), (20, 73), (1, 29), (2, 43), (61, 1), (6, 34), (50, 16), (52, 13), (8, 31), (32, 62), (3, 29), (65, 10), (57, 9), (2, 15), (38, 8), (52, 34)}"
eil76,Nearest-Neighbor,1,43.42,44.0,"{(43, 31), (41, 40), (67, 4), (31, 8), (69, 59), (11, 39), (37, 64), (59, 70), (30, 58), (65, 52), (33, 51), (3, 74), (75, 66), (36, 19), (24, 54), (16, 50), (68, 60), (15, 2), (4, 36), (47, 46), (46, 20), (38, 71), (34, 6), (48, 23), (64, 10), (27, 61), (72, 32), (26, 44), (50, 5), (18, 34), (5, 67), (22, 55), (54, 30), (19, 69), (45, 33), (74, 75), (60, 21), (35, 68), (70, 35), (42, 22), (66, 25), (44, 28), (6, 7), (29, 3), (8, 38), (63, 14), (9, 37), (63, 72), (28, 47), (20, 73), (62, 15), (1, 29), (73, 27), (25, 11), (39, 16), (49, 24), (53, 12), (2, 43), (23, 17), (61, 1), (56, 14), (40, 42), (52, 13), (7, 45), (32, 62), (10, 65), (21, 41), (71, 57), (57, 9), (55, 48), (13, 18), (51, 26), (12, 56), (58, 53), (17, 49)}"
eil76,oneTree-Modified,1,42.11,42.11,"{(10, 37), (5, 50), (58, 65), (37, 64), (33, 45), (9, 57), (10, 52), (60, 68), (33, 51), (38, 71), (64, 65), (41, 42), (27, 61), (5, 67), (18, 34), (17, 23), (74, 75), (35, 68), (15, 62), (20, 46), (53, 58), (21, 63), (20, 73), (2, 43), (16, 39), (6, 34), (13, 52), (4, 28), (7, 45), (32, 62), (8, 31), (35, 70), (12, 56), (12, 53), (17, 49), (11, 39), (59, 70), (3, 74), (24, 54), (26, 51), (16, 50), (1, 61), (66, 75), (0, 72), (19, 36), (0, 32), (30, 54), (59, 69), (26, 44), (41, 63), (46, 47), (27, 73), (19, 69), (31, 43), (14, 36), (57, 71), (40, 55), (4, 47), (23, 48), (28, 44), (6, 7), (11, 25), (21, 60), (8, 38), (22, 55), (1, 29), (67, 72), (24, 49), (40, 42), (25, 66), (3, 29), (13, 18), (2, 15), (22, 48), (9, 30), (14, 56)}"
eil76,Delanay-OneTree,1,42.11,42.11,"{(0, 42), (5, 50), (11, 39), (37, 64), (33, 45), (59, 70), (9, 57), (10, 52), (67, 74), (3, 74), (33, 51), (24, 54), (26, 51), (16, 50), (10, 64), (15, 48), (33, 66), (40, 41), (66, 75), (0, 72), (4, 36), (1, 67), (1, 73), (21, 61), (34, 52), (38, 71), (19, 36), (22, 62), (27, 61), (4, 14), (59, 69), (26, 44), (41, 63), (7, 34), (5, 67), (18, 34), (27, 73), (46, 47), (19, 69), (61, 72), (32, 72), (74, 75), (3, 33), (11, 16), (31, 43), (31, 49), (15, 62), (20, 46), (35, 68), (57, 71), (23, 48), (28, 44), (8, 38), (22, 55), (9, 37), (28, 47), (1, 29), (2, 43), (27, 60), (24, 49), (35, 46), (6, 34), (12, 26), (13, 52), (17, 49), (4, 28), (7, 45), (32, 62), (40, 42), (10, 65), (13, 58), (25, 66), (8, 31), (9, 30), (12, 53), (14, 56)}"
eil76,Nearest-Neighbor,2,50.0,28.57,"{(41, 40), (67, 4), (65, 52), (46, 20), (38, 71), (44, 29), (43, 39), (27, 61), (5, 67), (74, 75), (46, 4), (60, 21), (11, 16), (48, 56), (61, 29), (18, 58), (66, 25), (23, 54), (59, 68), (70, 68), (56, 14), (2, 43), (37, 10), (19, 59), (47, 20), (32, 62), (21, 41), (38, 11), (72, 61), (25, 11), (12, 56), (58, 53), (24, 30), (31, 8), (34, 7), (11, 39), (59, 70), (65, 58), (3, 74), (57, 54), (15, 2), (18, 53), (4, 36), (33, 26), (54, 30), (1, 5), (75, 25), (42, 22), (44, 28), (8, 38), (22, 55), (9, 37), (63, 72), (2, 31), (45, 66), (39, 16), (73, 27), (28, 4), (23, 17), (32, 50), (61, 1), (9, 64), (69, 14), (40, 42), (44, 3), (10, 65), (13, 18), (37, 64), (30, 58), (33, 51), (75, 66), (64, 65), (34, 6), (48, 23), (63, 21), (46, 35), (41, 48), (51, 3), (50, 5), (18, 34), (21, 42), (35, 68), (39, 50), (70, 35), (63, 60), (29, 3), (28, 47), (63, 14), (20, 73), (49, 24), (12, 14), (52, 13), (7, 45), (71, 57), (36, 35), (55, 48), (51, 26), (17, 49), (43, 31), (57, 30), (69, 59), (60, 56), (51, 53), (43, 49), (52, 6), (24, 54), (36, 19), (16, 50), (33, 66), (74, 67), (68, 60), (42, 23), (17, 24), (73, 1), (25, 16), (47, 46), (64, 10), (62, 22), (69, 70), (72, 32), (26, 44), (19, 69), (45, 33), (40, 55), (6, 7), (1, 29), (62, 15), (53, 12), (20, 27), (8, 71), (10, 13), (57, 9), (26, 12)}"
eil76,oneTree-Modified,2,50.0,31.4,"{(10, 37), (5, 50), (58, 65), (37, 64), (33, 45), (9, 57), (10, 52), (67, 74), (60, 68), (33, 51), (5, 74), (40, 41), (1, 73), (8, 24), (38, 71), (34, 52), (64, 65), (41, 42), (17, 54), (27, 61), (5, 67), (18, 34), (7, 34), (0, 62), (17, 23), (74, 75), (32, 72), (35, 68), (3, 33), (11, 16), (31, 49), (15, 62), (20, 46), (53, 58), (28, 47), (21, 63), (20, 73), (7, 18), (4, 46), (2, 43), (27, 60), (16, 39), (6, 34), (13, 52), (4, 28), (7, 45), (32, 62), (8, 31), (13, 58), (35, 70), (68, 70), (3, 44), (40, 63), (12, 56), (25, 75), (12, 53), (17, 49), (0, 42), (11, 39), (59, 70), (3, 74), (24, 54), (26, 51), (16, 50), (33, 66), (1, 61), (15, 48), (10, 64), (29, 47), (17, 24), (66, 75), (0, 72), (4, 36), (1, 67), (18, 53), (21, 61), (19, 36), (0, 32), (22, 62), (30, 54), (3, 67), (59, 69), (4, 14), (26, 44), (41, 63), (46, 47), (27, 73), (9, 71), (19, 69), (61, 72), (31, 43), (14, 36), (57, 71), (40, 55), (45, 51), (4, 47), (23, 48), (28, 44), (6, 7), (11, 25), (21, 60), (8, 38), (22, 55), (30, 38), (9, 37), (2, 31), (1, 29), (67, 72), (24, 49), (7, 33), (35, 46), (12, 26), (40, 42), (25, 66), (3, 29), (10, 65), (13, 18), (2, 15), (22, 48), (9, 30), (14, 56)}"
eil76,Delanay-OneTree,1,42.11,42.11,"{(0, 42), (5, 50), (11, 39), (37, 64), (33, 45), (59, 70), (9, 57), (10, 52), (67, 74), (3, 74), (33, 51), (24, 54), (26, 51), (16, 50), (10, 64), (15, 48), (33, 66), (40, 41), (66, 75), (0, 72), (4, 36), (1, 67), (1, 73), (21, 61), (34, 52), (38, 71), (19, 36), (22, 62), (27, 61), (4, 14), (59, 69), (26, 44), (41, 63), (7, 34), (5, 67), (18, 34), (27, 73), (46, 47), (19, 69), (61, 72), (32, 72), (74, 75), (3, 33), (11, 16), (31, 43), (31, 49), (15, 62), (20, 46), (35, 68), (57, 71), (23, 48), (28, 44), (8, 38), (22, 55), (9, 37), (28, 47), (1, 29), (2, 43), (27, 60), (24, 49), (35, 46), (6, 34), (12, 26), (13, 52), (17, 49), (4, 28), (7, 45), (32, 62), (40, 42), (10, 65), (13, 58), (25, 66), (8, 31), (9, 30), (12, 53), (14, 56)}"
eil76,Nearest-Neighbor,3,52.63,22.35,"{(41, 40), (67, 4), (42, 48), (2, 39), (10, 52), (65, 52), (46, 20), (38, 71), (44, 29), (43, 39), (69, 58), (27, 61), (5, 67), (46, 59), (74, 75), (46, 4), (60, 21), (11, 16), (46, 68), (48, 56), (61, 29), (18, 58), (66, 25), (23, 54), (59, 68), (70, 68), (56, 14), (2, 43), (37, 10), (19, 59), (47, 20), (32, 62), (21, 41), (7, 51), (38, 11), (72, 61), (25, 11), (73, 60), (12, 56), (55, 54), (58, 53), (24, 30), (31, 8), (34, 7), (47, 4), (11, 39), (31, 17), (59, 70), (65, 58), (3, 74), (63, 40), (57, 54), (20, 35), (19, 70), (37, 30), (6, 45), (15, 2), (18, 53), (4, 36), (18, 7), (33, 26), (54, 30), (75, 16), (1, 5), (75, 25), (42, 22), (72, 1), (44, 28), (8, 38), (22, 55), (9, 37), (63, 72), (2, 31), (45, 66), (39, 16), (73, 27), (28, 4), (23, 17), (32, 50), (43, 50), (9, 64), (61, 1), (69, 14), (40, 42), (33, 3), (44, 3), (10, 65), (64, 54), (13, 18), (22, 48), (9, 30), (37, 64), (30, 58), (33, 51), (75, 66), (61, 21), (44, 69), (62, 50), (8, 24), (64, 65), (34, 6), (48, 23), (63, 21), (46, 35), (41, 48), (51, 3), (50, 5), (18, 34), (44, 53), (21, 42), (4, 35), (35, 68), (39, 50), (70, 35), (64, 58), (63, 60), (65, 23), (29, 3), (28, 47), (63, 14), (38, 24), (20, 73), (49, 24), (13, 34), (3, 66), (12, 14), (52, 13), (7, 45), (71, 57), (36, 35), (55, 48), (71, 11), (51, 26), (17, 49), (43, 31), (57, 30), (69, 59), (60, 56), (51, 53), (43, 49), (73, 29), (52, 6), (24, 54), (65, 55), (36, 19), (16, 50), (33, 66), (74, 67), (18, 56), (68, 60), (42, 23), (17, 24), (73, 1), (29, 53), (32, 15), (47, 46), (25, 16), (64, 10), (62, 22), (69, 70), (72, 32), (26, 44), (19, 69), (45, 33), (51, 12), (40, 55), (6, 7), (1, 29), (62, 15), (26, 28), (53, 12), (36, 14), (20, 27), (63, 41), (8, 71), (10, 13), (39, 49), (57, 9), (26, 12)}"
eil76,oneTree-Modified,3,50.0,31.15,"{(10, 37), (5, 50), (58, 65), (37, 64), (33, 45), (9, 57), (10, 52), (67, 74), (60, 68), (33, 51), (5, 74), (40, 41), (1, 73), (8, 24), (38, 71), (34, 52), (64, 65), (41, 42), (17, 54), (27, 61), (5, 67), (18, 34), (7, 34), (0, 62), (17, 23), (74, 75), (32, 72), (35, 68), (3, 33), (11, 16), (31, 49), (15, 62), (20, 46), (53, 58), (28, 47), (21, 63), (20, 73), (7, 18), (4, 46), (2, 43), (27, 60), (16, 39), (6, 34), (13, 52), (4, 28), (7, 45), (32, 62), (8, 31), (13, 58), (35, 70), (68, 70), (3, 44), (40, 63), (12, 56), (25, 75), (12, 53), (17, 49), (0, 42), (11, 39), (59, 70), (3, 74), (24, 54), (26, 51), (16, 50), (33, 66), (1, 61), (15, 48), (10, 64), (29, 47), (17, 24), (66, 75), (0, 72), (4, 36), (1, 67), (18, 53), (21, 61), (19, 36), (0, 32), (22, 62), (30, 54), (3, 67), (59, 69), (4, 14), (26, 44), (41, 63), (46, 47), (27, 73), (9, 71), (19, 69), (61, 72), (31, 43), (14, 36), (57, 71), (40, 55), (45, 51), (4, 47), (23, 48), (28, 44), (6, 7), (11, 25), (21, 60), (8, 38), (22, 55), (30, 38), (9, 37), (2, 31), (1, 29), (67, 72), (24, 49), (7, 33), (35, 46), (12, 26), (40, 42), (25, 66), (3, 29), (10, 65), (22, 42), (13, 18), (2, 15), (22, 48), (9, 30), (14, 56)}"
eil76,Delanay-OneTree,1,42.11,42.11,"{(0, 42), (5, 50), (11, 39), (37, 64), (33, 45), (59, 70), (9, 57), (10, 52), (67, 74), (3, 74), (33, 51), (24, 54), (26, 51), (16, 50), (10, 64), (15, 48), (33, 66), (40, 41), (66, 75), (0, 72), (4, 36), (1, 67), (1, 73), (21, 61), (34, 52), (38, 71), (19, 36), (22, 62), (27, 61), (4, 14), (59, 69), (26, 44), (41, 63), (7, 34), (5, 67), (18, 34), (27, 73), (46, 47), (19, 69), (61, 72), (32, 72), (74, 75), (3, 33), (11, 16), (31, 43), (31, 49), (15, 62), (20, 46), (35, 68), (57, 71), (23, 48), (28, 44), (8, 38), (22, 55), (9, 37), (28, 47), (1, 29), (2, 43), (27, 60), (24, 49), (35, 46), (6, 34), (12, 26), (13, 52), (17, 49), (4, 28), (7, 45), (32, 62), (40, 42), (10, 65), (13, 58), (25, 66), (8, 31), (9, 30), (12, 53), (14, 56)}"
eil76,Nearest-Neighbor,4,55.26,18.58,"{(41, 40), (67, 4), (42, 48), (2, 39), (10, 52), (65, 52), (28, 12), (65, 70), (57, 11), (46, 20), (38, 71), (6, 66), (44, 29), (41, 42), (43, 39), (8, 39), (69, 58), (27, 61), (2, 50), (5, 67), (9, 10), (46, 59), (74, 75), (46, 4), (60, 21), (11, 16), (31, 49), (46, 68), (48, 56), (61, 29), (18, 58), (66, 25), (23, 54), (59, 68), (70, 68), (56, 14), (2, 43), (37, 10), (19, 59), (47, 20), (32, 62), (13, 58), (21, 41), (7, 51), (38, 11), (72, 61), (25, 11), (73, 60), (61, 40), (55, 54), (58, 53), (34, 53), (12, 56), (24, 30), (31, 8), (34, 7), (47, 4), (11, 39), (31, 17), (46, 36), (59, 70), (65, 58), (3, 74), (63, 40), (57, 54), (20, 35), (19, 70), (15, 48), (37, 30), (6, 45), (15, 2), (18, 53), (4, 36), (18, 7), (33, 26), (40, 22), (3, 67), (54, 30), (15, 50), (75, 16), (1, 5), (75, 25), (42, 22), (72, 1), (44, 28), (8, 38), (59, 56), (9, 37), (63, 72), (2, 31), (64, 70), (45, 66), (39, 16), (73, 27), (22, 55), (45, 75), (28, 4), (23, 17), (32, 50), (43, 50), (9, 64), (61, 1), (69, 14), (40, 42), (33, 3), (44, 3), (10, 65), (64, 54), (13, 18), (22, 48), (9, 30), (20, 60), (47, 1), (37, 64), (30, 58), (33, 51), (75, 66), (61, 21), (44, 69), (62, 50), (8, 24), (53, 56), (73, 68), (64, 65), (34, 6), (48, 23), (63, 21), (46, 35), (41, 48), (51, 3), (50, 5), (18, 34), (44, 53), (21, 42), (27, 21), (4, 35), (35, 68), (39, 50), (70, 35), (73, 61), (71, 9), (63, 60), (64, 58), (65, 23), (29, 3), (19, 35), (28, 47), (63, 14), (38, 24), (20, 73), (57, 37), (49, 24), (13, 34), (3, 66), (12, 14), (27, 60), (32, 1), (52, 13), (7, 45), (71, 57), (36, 35), (55, 48), (71, 11), (51, 26), (37, 52), (17, 49), (43, 31), (57, 30), (69, 59), (60, 56), (72, 21), (51, 53), (43, 49), (62, 29), (73, 29), (52, 6), (24, 54), (65, 55), (36, 19), (16, 50), (33, 66), (74, 67), (18, 56), (68, 60), (42, 23), (17, 24), (73, 1), (29, 53), (32, 15), (47, 46), (25, 16), (64, 10), (62, 22), (69, 70), (72, 32), (4, 14), (26, 44), (74, 5), (19, 69), (45, 33), (19, 14), (51, 12), (40, 55), (2, 16), (43, 17), (45, 51), (6, 7), (1, 29), (62, 15), (26, 28), (53, 12), (42, 55), (36, 69), (36, 14), (64, 30), (20, 27), (63, 41), (8, 71), (10, 13), (39, 49), (34, 44), (57, 9), (74, 25), (75, 24), (63, 68), (26, 12)}"
eil76,oneTree-Modified,4,50.0,30.89,"{(10, 37), (5, 50), (58, 65), (37, 64), (33, 45), (9, 57), (10, 52), (67, 74), (60, 68), (33, 51), (5, 74), (40, 41), (1, 73), (8, 24), (38, 71), (34, 52), (64, 65), (41, 42), (17, 54), (27, 61), (5, 67), (18, 34), (7, 34), (0, 62), (17, 23), (74, 75), (32, 72), (35, 68), (3, 33), (11, 16), (31, 49), (15, 62), (20, 46), (53, 58), (28, 47), (21, 63), (20, 73), (45, 51), (7, 18), (4, 46), (2, 43), (27, 60), (16, 39), (6, 34), (13, 52), (4, 28), (7, 45), (32, 62), (8, 31), (13, 58), (35, 70), (68, 70), (3, 44), (40, 63), (12, 56), (25, 75), (12, 53), (17, 49), (0, 42), (11, 39), (59, 70), (3, 74), (24, 54), (26, 51), (16, 50), (33, 66), (1, 61), (15, 48), (10, 64), (29, 47), (17, 24), (66, 75), (0, 72), (4, 36), (1, 67), (18, 53), (21, 61), (19, 36), (0, 32), (22, 62), (30, 54), (3, 67), (59, 69), (4, 14), (26, 44), (41, 63), (46, 47), (27, 73), (9, 71), (19, 69), (61, 72), (31, 43), (14, 36), (57, 71), (40, 55), (66, 74), (4, 47), (23, 48), (28, 44), (6, 7), (11, 25), (21, 60), (8, 38), (22, 55), (30, 38), (9, 37), (2, 31), (1, 29), (67, 72), (24, 49), (7, 33), (35, 46), (12, 26), (40, 42), (25, 66), (3, 29), (10, 65), (22, 42), (13, 18), (2, 15), (22, 48), (9, 30), (14, 56)}"
eil76,Delanay-OneTree,1,42.11,42.11,"{(0, 42), (5, 50), (11, 39), (37, 64), (33, 45), (59, 70), (9, 57), (10, 52), (67, 74), (3, 74), (33, 51), (24, 54), (26, 51), (16, 50), (10, 64), (15, 48), (33, 66), (40, 41), (66, 75), (0, 72), (4, 36), (1, 67), (1, 73), (21, 61), (34, 52), (38, 71), (19, 36), (22, 62), (27, 61), (4, 14), (59, 69), (26, 44), (41, 63), (7, 34), (5, 67), (18, 34), (27, 73), (46, 47), (19, 69), (61, 72), (32, 72), (74, 75), (3, 33), (11, 16), (31, 43), (31, 49), (15, 62), (20, 46), (35, 68), (57, 71), (23, 48), (28, 44), (8, 38), (22, 55), (9, 37), (28, 47), (1, 29), (2, 43), (27, 60), (24, 49), (35, 46), (6, 34), (12, 26), (13, 52), (17, 49), (4, 28), (7, 45), (32, 62), (40, 42), (10, 65), (13, 58), (25, 66), (8, 31), (9, 30), (12, 53), (14, 56)}"
eil76,Nearest-Neighbor,5,55.26,15.97,"{(41, 40), (69, 56), (67, 4), (42, 48), (52, 58), (2, 39), (10, 52), (65, 52), (2, 48), (28, 12), (65, 70), (29, 50), (57, 11), (46, 20), (38, 71), (6, 66), (44, 29), (41, 42), (43, 39), (8, 39), (69, 58), (45, 3), (27, 61), (2, 50), (5, 67), (9, 10), (46, 59), (74, 75), (46, 4), (60, 21), (11, 16), (31, 49), (46, 68), (66, 16), (48, 56), (61, 29), (38, 9), (43, 23), (18, 58), (66, 25), (23, 54), (7, 12), (59, 68), (70, 68), (56, 14), (2, 43), (37, 10), (31, 24), (19, 59), (47, 20), (57, 52), (32, 62), (13, 58), (21, 41), (7, 51), (38, 11), (72, 61), (25, 11), (73, 60), (61, 40), (55, 54), (58, 53), (34, 53), (72, 15), (24, 30), (12, 56), (31, 8), (34, 7), (47, 4), (27, 1), (11, 39), (31, 17), (46, 36), (59, 70), (65, 58), (3, 74), (63, 40), (57, 54), (20, 35), (19, 70), (15, 48), (37, 30), (6, 45), (15, 2), (18, 53), (4, 36), (18, 7), (33, 26), (63, 70), (40, 22), (71, 37), (3, 67), (54, 30), (22, 55), (15, 50), (75, 16), (1, 5), (75, 25), (42, 22), (72, 1), (44, 28), (8, 38), (62, 73), (9, 37), (63, 72), (2, 31), (64, 70), (45, 66), (39, 16), (73, 27), (59, 56), (45, 75), (28, 4), (19, 56), (23, 17), (32, 50), (43, 50), (9, 64), (61, 1), (69, 14), (40, 42), (33, 3), (44, 3), (10, 65), (64, 54), (13, 18), (22, 48), (9, 30), (20, 60), (47, 1), (8, 49), (37, 64), (30, 58), (41, 55), (33, 51), (75, 66), (32, 61), (75, 11), (21, 40), (61, 21), (44, 69), (62, 50), (73, 50), (8, 24), (53, 56), (10, 30), (64, 65), (73, 68), (34, 6), (48, 23), (17, 54), (63, 21), (46, 35), (41, 48), (51, 3), (50, 5), (18, 34), (44, 53), (21, 42), (27, 21), (4, 35), (35, 68), (39, 50), (70, 35), (34, 45), (73, 61), (71, 9), (63, 60), (64, 58), (65, 23), (29, 3), (19, 35), (28, 47), (63, 14), (15, 22), (38, 24), (57, 37), (20, 73), (13, 34), (3, 66), (49, 24), (12, 14), (27, 60), (32, 1), (52, 13), (7, 45), (71, 57), (36, 35), (55, 48), (71, 11), (51, 26), (37, 52), (17, 49), (43, 31), (57, 30), (69, 59), (60, 56), (72, 21), (51, 53), (43, 49), (62, 29), (73, 29), (52, 6), (24, 54), (65, 55), (36, 19), (16, 50), (33, 66), (74, 67), (70, 30), (18, 56), (68, 60), (42, 23), (17, 24), (63, 55), (73, 1), (32, 15), (47, 46), (29, 53), (25, 16), (20, 68), (64, 10), (59, 60), (62, 22), (69, 70), (72, 32), (4, 14), (26, 44), (44, 4), (74, 5), (19, 69), (45, 33), (19, 14), (51, 12), (40, 55), (2, 16), (43, 17), (45, 51), (6, 7), (1, 29), (62, 15), (6, 25), (26, 28), (53, 12), (42, 55), (36, 69), (47, 14), (64, 30), (36, 14), (20, 27), (62, 42), (63, 41), (8, 71), (10, 13), (51, 14), (65, 13), (39, 49), (34, 44), (57, 9), (74, 25), (75, 24), (63, 68), (26, 12)}"
eil76,oneTree-Modified,5,50.0,30.65,"{(10, 37), (5, 50), (58, 65), (37, 64), (33, 45), (9, 57), (10, 52), (67, 74), (60, 68), (33, 51), (2, 48), (5, 74), (40, 41), (1, 73), (8, 24), (38, 71), (34, 52), (64, 65), (41, 42), (17, 54), (27, 61), (5, 67), (18, 34), (7, 34), (0, 62), (17, 23), (74, 75), (32, 72), (35, 68), (3, 33), (11, 16), (31, 49), (15, 62), (20, 46), (53, 58), (28, 47), (21, 63), (20, 73), (45, 51), (7, 18), (4, 46), (2, 43), (27, 60), (16, 39), (6, 34), (13, 52), (4, 28), (7, 45), (32, 62), (8, 31), (13, 58), (35, 70), (68, 70), (3, 44), (40, 63), (12, 56), (25, 75), (12, 53), (17, 49), (0, 42), (11, 39), (59, 70), (3, 74), (24, 54), (26, 51), (16, 50), (33, 66), (1, 61), (15, 48), (10, 64), (29, 47), (17, 24), (66, 75), (0, 72), (4, 36), (1, 67), (18, 53), (21, 61), (19, 36), (0, 32), (22, 62), (30, 54), (3, 67), (59, 69), (4, 14), (26, 44), (41, 63), (46, 47), (27, 73), (9, 71), (19, 69), (61, 72), (31, 43), (14, 36), (57, 71), (40, 55), (66, 74), (4, 47), (23, 48), (28, 44), (6, 7), (11, 25), (21, 60), (8, 38), (22, 55), (30, 38), (9, 37), (2, 31), (1, 29), (67, 72), (24, 49), (7, 33), (35, 46), (12, 26), (40, 42), (25, 66), (3, 29), (10, 65), (22, 42), (13, 18), (2, 15), (22, 48), (9, 30), (14, 56)}"
eil76,Delanay-OneTree,1,42.11,42.11,"{(0, 42), (5, 50), (11, 39), (37, 64), (33, 45), (59, 70), (9, 57), (10, 52), (67, 74), (3, 74), (33, 51), (24, 54), (26, 51), (16, 50), (10, 64), (15, 48), (33, 66), (40, 41), (66, 75), (0, 72), (4, 36), (1, 67), (1, 73), (21, 61), (34, 52), (38, 71), (19, 36), (22, 62), (27, 61), (4, 14), (59, 69), (26, 44), (41, 63), (7, 34), (5, 67), (18, 34), (27, 73), (46, 47), (19, 69), (61, 72), (32, 72), (74, 75), (3, 33), (11, 16), (31, 43), (31, 49), (15, 62), (20, 46), (35, 68), (57, 71), (23, 48), (28, 44), (8, 38), (22, 55), (9, 37), (28, 47), (1, 29), (2, 43), (27, 60), (24, 49), (35, 46), (6, 34), (12, 26), (13, 52), (17, 49), (4, 28), (7, 45), (32, 62), (40, 42), (10, 65), (13, 58), (25, 66), (8, 31), (9, 30), (12, 53), (14, 56)}"
