instance,method,parameter,edges
tsp225,delaunay,,"{(55, 57), (131, 214), (87, 126), (66, 103), (67, 68), (88, 100), (99, 100), (159, 160), (136, 158), (8, 9), (28, 76), (40, 41), (128, 163), (8, 18), (100, 101), (85, 210), (149, 213), (151, 155), (148, 168), (41, 42), (96, 216), (73, 74), (10, 36), (110, 123), (44, 47), (133, 134), (181, 183), (47, 192), (173, 179), (14, 15), (146, 171), (74, 75), (106, 107), (143, 156), (155, 158), (106, 125), (15, 16), (107, 108), (88, 104), (104, 219), (136, 162), (139, 158), (48, 49), (147, 171), (157, 212), (140, 141), (191, 223), (81, 82), (66, 219), (61, 113), (22, 23), (146, 175), (80, 220), (55, 56), (87, 125), (88, 90), (147, 148), (188, 204), (23, 207), (10, 17), (62, 64), (1, 206), (110, 122), (25, 33), (154, 156), (3, 5), (1, 224), (142, 200), (173, 178), (51, 54), (131, 163), (123, 168), (5, 194), (95, 97), (92, 208), (64, 109), (28, 34), (127, 165), (9, 39), (147, 152), (21, 22), (69, 71), (191, 195), (114, 222), (6, 42), (113, 114), (172, 181), (54, 55), (119, 184), (39, 75), (134, 182), (146, 147), (32, 36), (194, 196), (43, 45), (87, 88), (49, 223), (72, 99), (135, 137), (87, 106), (179, 180), (50, 206), (28, 29), (76, 78), (88, 89), (157, 161), (120, 121), (30, 218), (180, 181), (68, 101), (77, 79), (61, 62), (80, 84), (121, 122), (169, 171), (27, 78), (153, 154), (2, 3), (39, 52), (83, 86), (62, 63), (110, 112), (94, 95), (154, 155), (88, 219), (31, 75), (3, 4), (51, 53), (35, 36), (43, 49), (123, 167), (95, 96), (143, 145), (127, 128), (108, 124), (143, 154), (57, 60), (208, 220), (36, 37), (125, 213), (68, 69), (28, 33), (156, 200), (127, 164), (9, 38), (160, 161), (69, 70), (31, 205), (95, 208), (101, 102), (189, 224), (161, 162), (190, 198), (31, 34), (10, 11), (172, 180), (142, 176), (102, 103), (119, 174), (48, 132), (119, 183), (13, 22), (32, 35), (53, 67), (43, 44), (135, 136), (1, 56), (193, 217), (133, 212), (27, 203), (49, 51), (76, 77), (109, 111), (168, 169), (86, 127), (82, 93), (45, 193), (142, 144), (150, 166), (31, 38), (83, 85), (129, 210), (175, 177), (26, 188), (163, 212), (53, 71), (24, 35), (18, 202), (145, 154), (108, 123), (122, 170), (9, 10), (85, 130), (46, 59), (166, 213), (0, 199), (102, 219), (149, 151), (42, 43), (90, 92), (201, 216), (50, 56), (171, 175), (56, 206), (117, 222), (63, 111), (91, 93), (83, 89), (13, 21), (16, 17), (64, 66), (108, 109), (1, 46), (156, 158), (216, 218), (65, 67), (49, 50), (97, 99), (109, 110), (124, 211), (75, 215), (98, 100), (82, 83), (79, 96), (142, 143), (34, 201), (31, 37), (83, 84), (112, 120), (115, 116), (140, 200), (129, 209), (175, 176), (26, 187), (24, 25), (49, 198), (72, 74), (125, 166), (56, 57), (16, 21), (79, 208), (116, 117), (137, 158), (122, 169), (167, 168), (57, 58), (89, 90), (49, 54), (138, 141), (149, 150), (197, 199), (0, 18), (30, 31), (126, 166), (189, 204), (8, 40), (117, 185), (90, 91), (11, 36), (4, 6), (34, 205), (31, 32), (128, 221), (97, 215), (52, 73), (123, 124), (47, 223), (64, 65), (74, 97), (48, 206), (5, 6), (86, 89), (70, 72), (97, 98), (0, 4), (8, 17), (11, 13), (148, 149), (71, 73), (85, 209), (44, 217), (29, 76), (82, 91), (12, 23), (150, 213), (104, 106), (122, 123), (137, 139), (145, 152), (78, 80), (143, 200), (170, 172), (0, 8), (170, 181), (11, 17), (93, 208), (33, 203), (2, 197), (63, 64), (92, 100), (105, 219), (111, 113), (11, 35), (140, 158), (148, 171), (171, 173), (4, 5), (60, 67), (47, 195), (144, 146), (162, 182), (132, 190), (37, 38), (155, 161), (131, 221), (29, 201), (206, 224), (135, 182), (70, 71), (26, 46), (81, 220), (116, 187), (118, 120), (115, 222), (130, 131), (11, 12), (210, 221), (92, 95), (149, 211), (151, 153), (163, 164), (211, 213), (35, 207), (24, 207), (44, 45), (86, 209), (161, 212), (152, 154), (196, 197), (155, 156), (114, 118), (155, 165), (137, 138), (96, 97), (88, 102), (188, 189), (147, 151), (136, 160), (29, 34), (170, 171), (28, 78), (40, 43), (6, 41), (40, 52), (111, 112), (192, 195), (62, 67), (10, 38), (59, 187), (144, 145), (177, 178), (136, 137), (195, 223), (59, 61), (118, 119), (116, 186), (77, 78), (0, 2), (77, 96), (169, 170), (120, 174), (151, 152), (110, 111), (205, 218), (33, 35), (81, 84), (110, 120), (61, 115), (16, 202), (76, 216), (51, 52), (14, 21), (143, 144), (134, 212), (66, 68), (28, 203), (114, 117), (64, 107), (158, 160), (124, 167), (127, 163), (87, 127), (164, 212), (55, 67), (99, 101), (198, 223), (58, 60), (157, 182), (40, 51), (130, 210), (73, 75), (10, 37), (32, 34), (173, 180), (14, 16), (5, 196), (106, 108), (17, 18), (87, 104), (155, 159), (61, 222), (47, 49), (139, 141), (84, 220), (118, 185), (161, 165), (150, 165), (134, 157), (84, 85), (43, 47), (146, 176), (72, 101), (176, 177), (1, 59), (77, 216), (57, 67), (19, 202), (117, 118), (109, 123), (209, 210), (149, 168), (58, 59), (68, 103), (90, 100), (103, 219), (150, 151), (27, 80), (91, 92), (46, 188), (62, 65), (76, 201), (190, 223), (183, 184), (32, 33), (165, 166), (43, 51), (124, 125), (46, 224), (95, 98), (65, 66), (83, 209), (5, 42), (6, 7), (128, 131), (30, 215), (139, 140), (98, 99), (190, 191), (118, 184), (39, 40), (161, 164), (31, 36), (27, 84), (172, 173), (54, 56), (205, 216), (13, 15), (132, 204), (72, 73), (16, 20), (53, 69), (105, 107), (24, 33), (141, 200), (164, 165), (87, 89), (135, 138), (1, 58), (122, 168), (42, 194), (64, 105), (133, 214), (9, 17), (157, 162), (120, 122), (168, 171), (86, 129), (149, 167), (8, 39), (201, 205), (126, 165), (50, 54), (61, 63), (153, 155), (190, 204), (30, 75), (2, 4), (112, 114), (63, 109), (46, 187), (94, 96), (53, 55), (163, 214), (129, 221), (145, 147), (53, 73), (79, 220), (113, 222), (127, 129), (38, 39), (108, 125), (68, 70), (30, 205), (94, 208), (160, 162), (71, 72), (119, 121), (25, 203), (59, 116), (42, 45), (79, 94), (118, 174), (101, 103), (12, 13), (60, 62), (12, 22), (104, 105), (112, 118), (45, 217), (63, 113), (97, 218), (83, 91), (13, 14), (16, 19), (105, 106), (66, 105), (82, 220), (78, 79), (138, 139), (19, 20), (124, 213), (79, 80), (167, 211), (171, 172), (20, 21), (45, 194), (52, 53), (3, 197), (31, 39), (112, 113), (23, 35), (12, 35), (132, 189), (132, 198), (133, 163), (53, 54), (175, 178), (145, 146), (86, 87), (7, 41), (178, 179), (27, 28), (136, 182), (93, 220), (59, 115), (116, 222), (189, 206), (60, 61), (4, 8), (192, 217), (152, 153), (52, 75), (215, 218), (144, 176), (74, 99), (185, 186), (67, 69), (126, 127), (159, 161), (186, 187), (44, 192), (11, 15), (70, 101), (100, 102), (188, 224), (148, 151), (92, 98), (41, 43), (151, 165), (121, 170), (3, 196), (56, 58), (15, 17), (131, 210), (193, 194), (59, 60), (107, 109), (7, 40), (158, 200), (89, 91), (48, 50), (170, 183), (92, 93), (2, 199), (117, 186), (127, 221), (74, 215), (184, 185), (33, 34), (81, 83), (4, 7), (125, 126), (121, 174), (173, 175), (97, 216), (121, 183), (66, 67), (17, 202), (48, 189), (158, 159), (48, 198), (7, 8)}"
a280,nearest,3,"{(67, 68), (99, 100), (159, 160), (8, 9), (133, 269), (40, 41), (251, 252), (11, 14), (100, 101), (92, 97), (8, 274), (151, 155), (192, 193), (240, 242), (41, 42), (0, 279), (73, 74), (81, 87), (133, 134), (181, 183), (19, 130), (225, 226), (74, 75), (166, 167), (15, 16), (47, 48), (226, 227), (258, 259), (107, 108), (199, 200), (48, 49), (80, 81), (218, 222), (259, 260), (140, 141), (232, 233), (81, 82), (22, 23), (233, 234), (265, 266), (114, 115), (166, 171), (206, 207), (55, 56), (47, 52), (266, 267), (147, 148), (88, 108), (207, 208), (128, 153), (239, 240), (272, 274), (210, 213), (121, 123), (92, 96), (150, 177), (62, 64), (240, 241), (110, 113), (243, 246), (181, 182), (2, 278), (139, 265), (246, 248), (273, 274), (66, 70), (187, 189), (87, 111), (214, 215), (206, 211), (247, 249), (21, 22), (69, 71), (239, 244), (113, 114), (161, 163), (205, 206), (253, 255), (54, 55), (102, 104), (18, 132), (162, 164), (146, 147), (194, 196), (179, 180), (227, 229), (28, 29), (88, 89), (120, 121), (180, 181), (29, 30), (260, 262), (21, 26), (61, 62), (272, 273), (121, 122), (169, 171), (153, 154), (135, 267), (2, 3), (150, 176), (213, 214), (83, 86), (62, 63), (94, 95), (29, 124), (154, 155), (3, 4), (35, 36), (246, 247), (43, 58), (95, 96), (127, 128), (187, 188), (36, 37), (68, 69), (128, 129), (160, 161), (220, 221), (69, 70), (90, 102), (101, 102), (161, 162), (119, 156), (10, 11), (253, 254), (102, 103), (194, 195), (43, 44), (135, 136), (216, 219), (49, 51), (227, 228), (76, 77), (138, 147), (168, 169), (201, 203), (208, 251), (160, 174), (260, 261), (261, 262), (175, 177), (144, 198), (9, 10), (197, 200), (241, 243), (268, 269), (149, 178), (99, 168), (134, 135), (182, 184), (75, 76), (123, 125), (16, 17), (108, 109), (64, 84), (156, 158), (49, 50), (109, 110), (157, 159), (201, 202), (50, 51), (98, 100), (82, 83), (142, 143), (190, 192), (23, 24), (234, 235), (83, 84), (115, 116), (34, 39), (4, 276), (175, 176), (223, 225), (24, 25), (93, 97), (56, 57), (267, 268), (116, 117), (185, 189), (1, 279), (208, 209), (57, 58), (167, 168), (134, 269), (89, 90), (229, 250), (86, 112), (5, 276), (89, 108), (20, 127), (30, 31), (63, 65), (241, 242), (90, 91), (200, 201), (82, 87), (182, 183), (151, 177), (31, 32), (141, 142), (263, 266), (112, 115), (274, 275), (123, 124), (215, 216), (64, 65), (156, 157), (85, 115), (5, 6), (38, 40), (70, 72), (248, 249), (97, 98), (133, 268), (189, 190), (148, 149), (230, 237), (163, 165), (137, 265), (12, 14), (61, 117), (222, 223), (255, 257), (141, 146), (44, 55), (104, 106), (152, 155), (34, 38), (122, 123), (204, 211), (93, 96), (185, 188), (15, 271), (78, 80), (218, 221), (16, 132), (63, 64), (192, 196), (4, 5), (37, 38), (166, 170), (193, 196), (70, 71), (118, 120), (130, 131), (178, 180), (11, 12), (270, 272), (163, 164), (44, 45), (255, 256), (152, 154), (1, 241), (34, 37), (196, 197), (66, 69), (244, 246), (3, 278), (137, 138), (247, 248), (7, 10), (96, 97), (18, 19), (15, 270), (188, 189), (143, 199), (126, 128), (170, 171), (218, 220), (129, 130), (251, 254), (80, 88), (262, 263), (111, 112), (221, 222), (18, 131), (41, 44), (25, 27), (203, 204), (162, 163), (144, 145), (254, 255), (103, 104), (74, 77), (236, 237), (85, 86), (195, 196), (158, 174), (136, 137), (258, 261), (118, 119), (228, 229), (77, 78), (21, 25), (0, 2), (48, 51), (210, 211), (169, 170), (184, 186), (110, 111), (232, 235), (33, 35), (243, 244), (202, 203), (51, 52), (43, 57), (143, 144), (66, 68), (3, 277), (195, 200), (235, 236), (206, 209), (7, 9), (105, 172), (191, 193), (140, 147), (224, 226), (25, 26), (73, 75), (246, 250), (17, 18), (258, 260), (6, 8), (160, 173), (21, 24), (161, 174), (232, 234), (136, 266), (84, 85), (43, 56), (217, 218), (103, 107), (176, 177), (28, 31), (209, 210), (257, 259), (58, 59), (149, 177), (191, 192), (150, 151), (42, 60), (242, 243), (91, 92), (91, 101), (224, 225), (100, 168), (183, 184), (175, 180), (32, 33), (2, 279), (165, 166), (275, 276), (124, 125), (246, 249), (216, 217), (46, 53), (264, 266), (65, 66), (276, 277), (198, 199), (157, 158), (6, 7), (139, 140), (249, 250), (98, 99), (150, 155), (190, 191), (39, 40), (172, 173), (205, 207), (131, 132), (253, 256), (212, 215), (223, 224), (146, 148), (72, 73), (60, 117), (164, 165), (256, 257), (134, 268), (179, 181), (28, 30), (197, 198), (5, 275), (120, 122), (238, 245), (257, 258), (42, 59), (94, 96), (29, 125), (231, 232), (175, 179), (35, 37), (38, 39), (264, 265), (106, 173), (71, 72), (118, 156), (119, 121), (230, 245), (207, 252), (12, 13), (271, 273), (104, 105), (75, 78), (13, 14), (45, 46), (13, 23), (93, 95), (231, 236), (105, 106), (20, 129), (46, 47), (78, 79), (138, 139), (186, 188), (138, 148), (19, 20), (230, 231), (79, 80), (79, 89), (219, 221), (142, 145), (52, 53), (17, 132), (263, 264), (112, 113), (204, 205), (53, 54), (175, 178), (145, 146), (193, 195), (26, 27), (237, 238), (178, 179), (106, 172), (27, 28), (238, 239), (270, 271), (119, 120), (211, 212), (60, 61), (271, 272), (152, 153), (1, 2), (34, 36), (212, 213), (244, 245), (93, 94), (45, 54), (185, 186), (67, 69), (277, 278), (126, 127), (186, 187), (218, 219), (240, 243), (219, 220), (225, 227), (74, 76), (252, 253), (56, 58), (214, 217), (193, 194), (226, 228), (59, 60), (107, 109), (143, 202), (167, 169), (199, 201), (0, 1), (48, 50), (159, 174), (92, 93), (30, 32), (184, 185), (33, 34), (125, 126), (101, 168), (22, 24), (233, 235), (34, 35), (66, 67), (114, 116), (3, 276), (158, 159), (7, 8)}"
st70,nearest,3,"{(6, 18), (16, 20), (47, 53), (12, 68), (55, 66), (58, 65), (4, 9), (44, 45), (26, 39), (38, 44), (40, 41), (46, 57), (22, 35), (21, 37), (48, 54), (43, 67), (28, 30), (39, 60), (36, 46), (8, 39), (24, 44), (16, 40), (28, 69), (10, 63), (39, 44), (29, 43), (22, 46), (1, 17), (13, 19), (25, 27), (36, 57), (34, 69), (10, 47), (9, 49), (47, 66), (16, 42), (25, 54), (3, 17), (20, 33), (30, 68), (32, 53), (15, 46), (49, 57), (23, 56), (4, 52), (30, 34), (55, 63), (2, 27), (56, 62), (18, 23), (37, 58), (9, 51), (51, 59), (1, 3), (19, 27), (11, 32), (47, 61), (11, 59), (19, 29), (53, 61), (17, 41), (2, 31), (6, 31), (14, 23), (32, 59), (40, 42), (7, 48), (5, 41), (34, 68), (14, 62), (58, 62), (24, 39), (20, 32), (12, 28), (26, 45), (32, 61), (44, 60), (1, 18), (11, 20), (36, 49), (7, 25), (18, 25), (12, 30), (8, 26), (0, 22), (29, 67), (15, 22), (12, 69), (37, 68), (9, 52), (7, 27), (13, 43), (42, 67), (7, 54), (0, 15), (3, 41), (11, 33), (4, 49), (21, 65), (13, 27), (50, 55), (50, 64), (10, 55), (10, 64), (39, 45), (1, 6), (31, 41), (68, 69), (62, 65), (63, 64), (5, 40), (21, 58), (0, 35), (32, 33), (4, 51), (13, 29), (24, 38), (8, 60), (30, 69), (10, 66), (2, 7), (28, 35), (55, 64), (50, 59), (52, 65), (25, 48), (5, 17), (38, 60), (21, 62), (14, 56)}"
pr76,nearest,3,"{(67, 68), (43, 46), (4, 9), (44, 45), (8, 9), (34, 37), (11, 14), (66, 69), (40, 59), (41, 42), (18, 19), (33, 38), (44, 47), (61, 63), (20, 22), (14, 15), (8, 11), (9, 10), (74, 75), (46, 68), (23, 45), (15, 16), (35, 37), (18, 30), (20, 24), (38, 39), (48, 49), (49, 66), (1, 74), (16, 17), (71, 72), (25, 29), (56, 62), (12, 13), (5, 7), (48, 51), (49, 50), (10, 15), (13, 14), (55, 56), (50, 51), (63, 70), (51, 52), (46, 47), (23, 24), (66, 68), (40, 58), (27, 42), (56, 57), (63, 72), (3, 5), (20, 21), (51, 54), (58, 60), (41, 53), (52, 53), (50, 65), (57, 58), (2, 6), (13, 73), (25, 26), (26, 27), (20, 23), (21, 22), (31, 32), (27, 28), (0, 75), (17, 36), (54, 55), (64, 65), (25, 28), (56, 61), (43, 45), (5, 6), (60, 61), (21, 24), (14, 73), (70, 72), (1, 2), (11, 13), (28, 29), (1, 75), (39, 59), (0, 22), (54, 57), (56, 63), (12, 14), (29, 30), (43, 47), (44, 46), (61, 62), (67, 69), (4, 19), (2, 3), (10, 16), (27, 32), (28, 31), (46, 67), (62, 63), (63, 71), (3, 4), (58, 59), (33, 39), (35, 36), (41, 52), (50, 55), (18, 29), (50, 64), (2, 5), (57, 60), (68, 69), (19, 30), (49, 65), (32, 33), (4, 5), (12, 73), (42, 53), (0, 1), (31, 34), (10, 11), (0, 74), (37, 38), (17, 35), (6, 7), (33, 34), (26, 28), (43, 44), (55, 64), (21, 23), (16, 36), (70, 71), (5, 8), (39, 40), (34, 35), (48, 52), (49, 51), (11, 12), (66, 67), (0, 21), (7, 8), (1, 22)}"
att48,nearest,3,"{(15, 21), (13, 33), (19, 46), (18, 26), (25, 41), (31, 38), (11, 14), (31, 47), (8, 39), (25, 34), (7, 37), (20, 31), (0, 7), (4, 41), (19, 32), (33, 40), (16, 42), (20, 24), (12, 20), (6, 43), (10, 22), (1, 28), (16, 26), (30, 43), (11, 39), (12, 13), (6, 27), (12, 22), (11, 32), (30, 45), (9, 44), (12, 24), (5, 18), (4, 47), (2, 22), (2, 40), (29, 42), (14, 32), (23, 44), (27, 35), (2, 15), (17, 43), (2, 33), (26, 36), (38, 47), (3, 25), (17, 27), (9, 23), (9, 41), (6, 17), (26, 29), (3, 9), (32, 45), (43, 45), (6, 35), (20, 46), (9, 25), (14, 39), (5, 36), (9, 34), (28, 47), (1, 41), (15, 40), (18, 36), (4, 28), (1, 4), (0, 15), (5, 29), (2, 21), (30, 37), (8, 37), (10, 46), (26, 42), (0, 8), (3, 34), (12, 46), (37, 45), (24, 38), (10, 11), (11, 19), (17, 35), (14, 45), (13, 22), (16, 18), (41, 47), (22, 24), (34, 44), (23, 41), (0, 21), (7, 8), (13, 24)}"
berlin52,nearest,3,"{(16, 20), (27, 50), (18, 44), (8, 9), (12, 25), (17, 21), (17, 30), (6, 20), (33, 38), (20, 22), (6, 41), (3, 24), (4, 23), (21, 48), (3, 42), (14, 42), (25, 27), (38, 39), (5, 14), (22, 30), (5, 23), (23, 47), (16, 17), (0, 30), (0, 48), (12, 13), (13, 51), (31, 44), (33, 35), (10, 51), (11, 50), (23, 24), (29, 49), (4, 47), (19, 29), (7, 9), (36, 45), (3, 5), (3, 14), (20, 30), (32, 50), (13, 46), (12, 26), (14, 23), (15, 43), (19, 22), (36, 38), (11, 27), (25, 26), (8, 40), (19, 49), (26, 27), (21, 31), (15, 45), (40, 44), (35, 48), (23, 37), (34, 43), (37, 39), (2, 17), (9, 32), (43, 45), (17, 20), (12, 51), (0, 31), (7, 18), (1, 41), (35, 43), (15, 49), (34, 38), (31, 48), (19, 28), (45, 47), (11, 24), (28, 49), (2, 30), (3, 4), (22, 29), (1, 6), (20, 41), (36, 37), (12, 46), (32, 42), (4, 5), (35, 38), (4, 14), (21, 30), (25, 46), (7, 40), (18, 40), (10, 11), (5, 24), (36, 39), (2, 16), (22, 49), (37, 47), (5, 42), (9, 40), (15, 19), (33, 34), (1, 29), (15, 28), (33, 43), (10, 50), (26, 46), (34, 35), (0, 21), (2, 18), (7, 8)}"
ulysses22,nearest,3,"{(6, 12), (15, 21), (18, 20), (4, 6), (12, 13), (3, 16), (5, 13), (5, 10), (8, 9), (17, 21), (8, 18), (9, 20), (13, 14), (1, 21), (6, 11), (18, 19), (4, 5), (5, 6), (4, 14), (3, 21), (0, 7), (1, 2), (9, 19), (11, 13), (19, 20), (2, 16), (6, 13), (16, 21), (7, 15), (7, 21), (12, 14), (4, 10), (5, 11), (3, 17), (5, 14), (8, 10), (11, 12), (8, 19), (9, 18), (0, 15), (0, 21), (1, 16), (2, 21), (16, 17)}"
eil76,nearest,3,"{(58, 65), (33, 45), (10, 52), (5, 74), (40, 41), (20, 47), (38, 71), (41, 42), (27, 61), (5, 67), (0, 62), (17, 23), (74, 75), (3, 33), (11, 16), (31, 49), (46, 68), (15, 62), (37, 65), (2, 43), (19, 59), (38, 39), (6, 34), (32, 62), (13, 58), (68, 70), (3, 44), (40, 63), (12, 56), (25, 75), (11, 39), (59, 70), (10, 58), (3, 74), (15, 48), (6, 45), (29, 47), (66, 75), (4, 36), (1, 67), (18, 53), (7, 53), (21, 61), (19, 36), (0, 32), (22, 62), (46, 47), (21, 27), (9, 71), (61, 72), (15, 50), (4, 47), (11, 25), (8, 38), (22, 55), (9, 37), (30, 38), (2, 31), (0, 61), (12, 26), (35, 46), (40, 42), (49, 54), (10, 65), (13, 18), (2, 15), (22, 48), (8, 31), (9, 30), (20, 60), (10, 37), (5, 50), (37, 64), (9, 57), (67, 74), (33, 51), (42, 63), (1, 73), (8, 24), (34, 52), (64, 65), (37, 57), (17, 54), (7, 34), (18, 34), (32, 72), (35, 68), (20, 46), (28, 47), (20, 73), (4, 56), (7, 18), (13, 34), (3, 75), (27, 60), (16, 39), (13, 52), (4, 28), (7, 45), (39, 43), (35, 70), (17, 31), (12, 53), (17, 49), (0, 42), (35, 36), (24, 54), (26, 51), (16, 50), (10, 64), (33, 66), (17, 24), (0, 72), (2, 23), (69, 70), (4, 14), (59, 69), (26, 44), (41, 63), (27, 73), (19, 69), (31, 43), (14, 36), (40, 55), (45, 51), (57, 71), (23, 48), (28, 44), (6, 7), (21, 60), (29, 73), (1, 29), (42, 55), (24, 49), (20, 27), (8, 71), (30, 71), (25, 66), (0, 21), (14, 56)}"
eil51,nearest,3,"{(1, 31), (40, 41), (1, 15), (13, 17), (4, 48), (8, 48), (10, 45), (20, 49), (2, 34), (7, 30), (33, 49), (11, 46), (3, 17), (20, 33), (14, 44), (19, 34), (10, 31), (1, 28), (2, 27), (17, 46), (22, 23), (29, 38), (12, 40), (36, 43), (1, 21), (13, 23), (11, 50), (20, 28), (4, 11), (21, 27), (12, 24), (39, 41), (26, 50), (6, 47), (23, 42), (8, 29), (6, 22), (12, 17), (29, 33), (18, 39), (14, 32), (45, 50), (10, 37), (8, 49), (9, 48), (11, 45), (3, 16), (5, 13), (6, 42), (18, 41), (8, 15), (8, 33), (9, 32), (3, 46), (37, 48), (2, 35), (7, 25), (26, 47), (27, 30), (2, 19), (19, 35), (0, 31), (32, 38), (26, 31), (15, 49), (19, 28), (8, 37), (5, 47), (41, 43), (7, 47), (17, 24), (22, 47), (9, 29), (0, 26), (14, 43), (9, 38), (16, 43), (18, 40), (14, 36), (15, 28), (32, 44), (6, 25), (25, 30), (43, 44), (16, 36), (39, 40), (34, 35), (5, 26), (22, 42), (31, 45), (0, 21), (4, 37), (13, 24)}"
ulysses16,nearest,3,"{(6, 12), (3, 7), (4, 6), (12, 13), (5, 13), (0, 2), (8, 9), (5, 10), (9, 11), (1, 3), (13, 14), (6, 11), (6, 8), (4, 5), (5, 6), (4, 14), (12, 15), (3, 15), (0, 1), (0, 7), (1, 2), (11, 13), (6, 13), (7, 15), (12, 14), (4, 10), (5, 11), (5, 8), (5, 14), (0, 3), (8, 10), (11, 12), (0, 15), (2, 15), (6, 9)}"
eil101,nearest,3,"{(72, 73), (1, 86), (15, 85), (7, 81), (44, 45), (13, 42), (90, 97), (28, 67), (10, 61), (46, 48), (59, 82), (0, 69), (65, 70), (29, 50), (60, 83), (48, 63), (76, 79), (15, 60), (58, 95), (60, 92), (92, 97), (43, 85), (41, 42), (13, 90), (21, 73), (27, 52), (73, 74), (17, 51), (90, 99), (22, 74), (11, 53), (10, 63), (28, 78), (3, 24), (38, 55), (60, 85), (14, 42), (32, 78), (33, 77), (94, 96), (27, 100), (41, 99), (4, 59), (25, 27), (13, 37), (8, 50), (19, 50), (30, 68), (12, 93), (75, 76), (38, 66), (4, 98), (32, 80), (49, 75), (8, 34), (71, 72), (20, 72), (77, 78), (9, 69), (37, 85), (17, 82), (97, 99), (7, 44), (11, 75), (58, 92), (1, 12), (45, 46), (93, 95), (16, 83), (34, 64), (82, 83), (62, 89), (46, 47), (23, 79), (77, 80), (67, 79), (0, 68), (6, 47), (18, 46), (36, 91), (26, 68), (19, 29), (11, 25), (22, 55), (64, 70), (7, 82), (53, 79), (17, 59), (32, 50), (35, 46), (15, 43), (84, 97), (86, 94), (60, 84), (18, 48), (16, 60), (53, 54), (9, 30), (3, 53), (22, 66), (26, 27), (3, 71), (84, 90), (26, 100), (35, 48), (23, 28), (16, 44), (86, 96), (21, 40), (8, 70), (24, 66), (58, 98), (39, 57), (64, 65), (31, 62), (3, 55), (20, 71), (34, 70), (40, 74), (6, 81), (13, 41), (31, 89), (52, 57), (55, 74), (67, 76), (84, 92), (12, 94), (58, 91), (61, 87), (33, 80), (36, 97), (91, 97), (93, 94), (9, 89), (51, 88), (71, 73), (9, 61), (13, 43), (86, 91), (4, 83), (19, 65), (10, 62), (7, 45), (47, 81), (50, 80), (59, 83), (20, 39), (39, 52), (2, 67), (36, 99), (44, 82), (11, 79), (2, 76), (5, 93), (14, 41), (37, 43), (62, 63), (23, 53), (29, 69), (92, 98), (94, 95), (21, 74), (35, 45), (78, 80), (24, 54), (26, 51), (56, 86), (18, 47), (22, 38), (10, 18), (17, 88), (2, 78), (5, 95), (52, 100), (15, 90), (6, 87), (24, 38), (95, 98), (30, 69), (5, 88), (30, 87), (9, 31), (12, 57), (40, 73), (43, 90), (49, 76), (3, 54), (33, 34), (41, 56), (25, 39), (55, 73), (0, 49), (1, 56), (8, 80), (91, 96), (3, 38), (41, 86), (14, 56)}"
